Rank (Overall rank based on Gridiron AI predicted points.),Name,Team,Pos.,Bye,Injury,Value (How valuable a player is overall taking into account both projected points and how difficult it is to find a replacement player at their position.),Pos. Rank (Rank sorted by position and based on Gridiron AI predicted points.),Expected Points (Expected fantasy points based on the selected scoring settings.),Downside Points (Downside fantasy points based on the selected scoring settings.),Upside Points (Upside fantasy points based on the selected scoring settings.),"3-G Points (The average points scored over the last three games excluding games where the player was inactive due to bye week, suspension, or injury.)","3-G Point Spread (The difference between max and min points in the last 3 weeks ignoring bye weeks, injuries, and suspensions. Requires the player to have been active in at least two of the last three games.)","3-G Yards (Average sum of passing, rushing, and receiving yards over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","3-G TDs (Average sum of passing, rushing, and receiving touchdowns over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","3-G Turnovers (Average sum of fumbles and interceptions over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","LG Touches (Sum of passing attempts, rushing attempts, and targets last week.)","3-G Touches (Average sum of passing attempts, rushing attempts, and targets over the past three weeks. Skip BYE weeks, injuries, and suspensions.)",LG Snap % (Percent of snaps the player was on the field last week.),"3-G Snap % (Average percent of snaps the player was on the field over the past three weeks. Skip BYE weeks, injuries, and suspensions.)",LG Touch % (Percent of snaps last week the player accrued a touch when they were on the field for the play.),"3-G Touch % (Average percent of snaps over the past three weeks the player accrued a touch when they were on the field for the play. Skip BYE weeks, injuries, and suspensions.)",Gridiron ID (The Gridiron AI player ID),FanDuel ID (The FanDuel player ID),DraftKings ID (The DraftKings player ID)
132,Rashod Bateman,BAL,WR,7,,140,62,115.9,44.1,189.9,9.7,16.4,34,0.7,0,8,4,71,65.3,16,8.5,28032,85845,1108208
133,Isiah Pacheco,KC,RB,10,,123,30,115.1,19.3,215.5,2.7,1.8,21.5,0,0,,8.5,,33.5,,36.1,28852,92575,1106832
134,Ricky Pearsall,SF,WR,14,,141,63,114.6,25.8,207.9,18.4,21,84.3,0.7,0,8,8.3,92,78,11.4,16.3,30007,,1161416
135,Cade Otton,TB,TE,9,Q,104,13,112.5,39.8,187.2,,,,,,,,,,,,28709,86811,1049263
136,Ray-Ray McCloud,ATL,WR,5,,143,64,112.1,31.9,196.5,6.7,6.9,40,0,0,7,4.7,100,84.3,8.9,7.4,5184,62055,867759
137,Xavier Legette,CAR,WR,14,Q,144,65,112,38.2,188.7,6.9,1.8,29,0,0,5,7,42,55,17.9,23,29930,,1180321
138,Pat Freiermuth,PIT,TE,5,,108,14,110.9,44.1,179,12.7,17.9,53.7,0.3,0.3,11,7.3,80,69.3,22.4,15.8,28060,86244,1116662
139,Rashid Shaheed,NO,WR,11,,147,66,109.4,31.1,191.4,,,,,,,,,,,,29028,170287,923412
140,Jake Ferguson,DAL,TE,10,,109,15,109.3,32.9,188.5,5.3,7.2,23.3,0,0.3,4,6,59,61.7,8.7,15.4,28731,89680,1065361
141,Dallas Goedert,PHI,TE,9,,113,16,108.5,34,184.9,9.5,,55,0,0,6,6,19,19,46.2,46.2,5046,83074,791365
142,Mike Gesicki,CIN,TE,10,,115,17,106.3,38.9,175.5,12.3,15.2,56,0,0,10,8,69,63,19.6,21.6,5039,56265,836152
143,Marvin Mims,DEN,WR,12,,148,67,106.1,29.5,188.9,20,18.8,72.7,1.3,0.3,5,6.7,31,39,21.7,26.9,29224,,1213799
144,Tre Tucker,LVR,WR,8,,149,68,105.9,31.4,183.5,7.5,5.5,28.7,0.3,0,4,6,80,87.3,9.8,10.1,29261,,1164979
145,Darius Slayton,NYG,WR,14,,152,69,105.5,34.4,178.7,4.6,10.2,19.7,0.3,0,1,2.3,91,85.3,2.1,4.9,27089,63819,880557
146,Devaughn Vele,NO,WR,11,,155,70,101.7,29.3,176.9,9.9,10.3,32.7,0.7,0,4,3,51,50.5,10.5,8.6,29885,,1164788
147,Zach Ertz,WAS,TE,12,,118,18,101,34.2,169.6,14.3,23,42.7,1,0,5,4.7,91,76,9.4,8.8,3112,29780,503177
148,Jayden Higgins,HOU,WR,6,,156,71,101,52.6,163.6,,,,,,,,,,,,30330,,
149,Kyle Pitts,ATL,TE,5,,119,19,100.9,36.9,166.3,6.5,12.7,22,0.3,0,3,3.3,44,45.3,8.6,10.7,28009,86080,1123026
150,Justin Fields,NYJ,QB,9,,191,30,99.2,15.5,207.7,,,,,,,,,,,,28016,91591,1110681
151,Dalton Schultz,HOU,TE,6,,125,20,98.9,36.7,162.2,8.5,11.4,31.7,0.3,0,3,5.7,53,68.3,9.4,13.7,5134,55042,830523
152,Luther Burden,CHI,WR,5,,158,72,98.8,47.2,163.6,,,,,,,,,,,,30335,,
153,Calvin Austin III,PIT,WR,5,,159,73,97.9,22.8,176.7,5.9,10.5,32,0,0.3,1,3.7,66,73.7,2.5,7.3,28740,90870,1062765
154,Darren Waller,MIA,TE,12,,126,21,97.1,24.9,172,,,,,,,,,,,,3925,25011,600191
155,Jalen Tolbert,DAL,WR,10,,161,74,96.4,31.2,164.7,11.9,3.8,49.3,0.7,0,6,4.3,72,56,10.7,12.6,28691,88548,1066424
156,Tyler Warren,IND,TE,11,,127,22,93.8,35.6,152.3,,,,,,,,,,,,30310,,
157,Allen Lazard,NYJ,WR,9,,166,75,89.9,23.2,158.5,7.3,14.2,33.3,0.3,0,4,4,89,83,7,7.5,26575,56809,837958
158,David Montgomery,DET,RB,8,,150,31,89.6,15.4,165.5,,,,,,,,,,,,27109,73273,946739
159,Andrei Iosivas,CIN,WR,10,,170,76,86.8,18.4,158.8,8.8,11.1,41.3,0.3,0,3,3.3,86,82.5,4.7,5.2,29367,,1124851
160,Noah Brown,WAS,WR,12,,172,77,86.4,22.3,153.2,,,,,,,,,,,,4768,56248,836103
161,Theo Johnson,NYG,TE,14,,135,23,85.2,20.3,152,,,,,,,,,,,,30042,,1214414
162,Juwan Johnson,NO,TE,11,Q,137,24,84.8,20.3,151.2,9.8,9.3,57.7,0,0.3,7,6.3,79,76.3,13.5,13.4,27919,64808,884609
163,Cole Kmet,CHI,TE,5,,138,25,84.6,26.1,144.6,3.7,8.9,4,0.3,0,2,1.3,98,93.3,3.3,2.3,27486,91047,1066765
164,Kyle Williams,NE,WR,14,,174,78,83.8,50.3,136.3,,,,,,,,,,,,30365,,
165,Omarion Hampton,LAC,RB,12,,162,32,80.5,26,131.3,,,,,,,,,,,,30318,,
166,Brandin Cooks,NO,WR,11,,178,79,80,25.7,136.3,7.2,4.7,36.7,0,0,10,7,69,71.3,18.5,14.7,3376,29501,607864
167,Tutu Atwell,LA,WR,8,,180,80,79,0.5,170.3,3.6,8.7,16.3,0,0,8,3.3,55,30.7,22.2,13.5,28062,92976,1106760
168,Noah Fant,CIN,TE,10,,145,26,78,13.8,145,11.2,9.3,52,0.3,0,6,5.7,64,64,17.1,15.8,26822,71705,923911
169,Nick Westbrook-Ikhine,MIA,WR,12,,182,81,78,15.2,143.5,8.5,3,34.7,0.3,0,7,5.7,97,95.7,11.7,9.2,27834,64389,883259
170,Tank Dell,HOU,WR,6,,183,82,77.8,33,123.8,21.8,,98,1,0,,7,,51,,23.3,29230,,1128222
171,Rachaad White,TB,RB,9,,163,33,76.4,14.7,139.3,5.1,11,31.3,0,0.3,0,6,27,37.7,0,18.5,28694,137902,1229343
172,Cedric Tillman,CLE,WR,9,,188,83,72.2,4.6,145.6,,,,,,,,,,,,29235,,
173,Zach Charbonnet,SEA,RB,8,,169,34,72.1,18.8,126.3,7.7,7.2,60,0,0,14,11.7,76,57.7,33.3,33.6,29213,,1164530
174,Austin Ekeler,WAS,RB,12,,171,35,71.9,12.1,134.5,5.2,,32,0,0,5,5,60,60,14.3,14.3,4695,80001,790004
175,AJ Barner,SEA,TE,8,,151,27,71.7,17,128.1,7.9,14.4,15.7,0.7,0,5,2.3,56,37.7,16.1,8.9,29903,,1229503
176,Brenton Strange,JAX,TE,8,,153,28,71.6,12.6,133.1,4.1,10,27.3,0,0.3,4,3,72,65,8,7.4,29222,,1164940
177,Tory Horton,SEA,WR,8,,190,84,70.9,16.1,128.7,,,,,,,,,,,,30461,,
178,Jalen Nailor,MIN,WR,6,,192,85,70.7,8.4,136.5,9.6,17.6,46.3,0.3,0,4,3.7,49,51.7,12.5,10.5,28792,92859,1126817
179,Will Dissly,LAC,TE,12,,154,29,69.4,6.4,136.9,9.6,11.1,31.5,0.5,0,6,4.5,57,50.5,14,11.3,5117,56708,837806
180,Clayton Tune,ARI,QB,8,,267,31,68.3,0,175.1,0.2,,2,0,0,1,1,8,8,20,20,29300,,1109133
181,Kareem Hunt,KC,RB,10,,177,36,66.7,13,121.7,11.9,7.9,49.5,1,0,,11.5,,45.5,,36.9,4558,45229,746613
182,Brandon Allen,TEN,QB,10,,276,32,66.4,0,239.6,,,,,,,,,,,,5350,31170,604390
183,Jahan Dotson,PHI,WR,9,,199,86,64.3,6.2,126.3,5.5,16.4,31.3,0,0,11,3.7,94,68,17.2,5.7,28620,86229,1121878
184,Mitchell Trubisky,BUF,QB,7,,286,33,64,0,296.5,7,0.5,90.5,1,0.5,25,14,72,43,52.1,41,5252,38628,728169
185,Joe Milton,DAL,QB,10,,287,34,63.7,0,210.7,19.2,,257,2,1,39,39,95,95,63.9,63.9,29986,,1112338
186,Mason Taylor,NYJ,TE,9,,160,30,63.6,20.6,106.8,,,,,,,,,,,,30338,,
187,Kenny Pickett,CLE,QB,9,,288,35,63.6,0,295.3,11.5,9,151,1.5,1,,22.5,,76,,42.2,28624,92020,976924
188,Jake Browning,CIN,QB,10,,295,36,62,0,228.5,0,,-1,0,0,,1,,,,,27753,60840,865844
189,Rico Dowdle,CAR,RB,14,,186,37,60.5,12.2,111,11.4,8.3,81,0.3,0.3,25,21.7,67,70,48.1,47.1,27854,72297,933480
190,Tyson Bagent,CHI,QB,5,,310,37,60.2,0,217.7,,,,,,,,,,,,29602,,1444140
191,Jarrett Stidham,DEN,QB,12,,313,38,59.4,0,215.2,0.7,,7,0,0,2,2,12,12,22.2,22.2,26961,60947,865868
192,Dyami Brown,JAX,WR,8,,213,87,59.3,0,129.6,6.5,2.2,40,0,0.5,6,5.5,43,54.5,24,17.6,28087,93538,1107878
193,Josh Reynolds,NYJ,WR,9,,217,88,58.8,1.6,120.5,0.7,2.1,3.7,0,0,3,1.3,58,49.7,7.5,3.6,4646,53097,822367
194,Tank Bigsby,JAX,RB,8,,187,38,58.6,10.2,112.1,8.2,7.9,42,0.7,0.3,15,13.3,36,34.7,60,60.2,29249,,1215035
195,Robert Woods,PIT,WR,5,,220,89,58.2,1.7,120.4,3.6,1.2,26.3,0,0.7,3,3.7,62,52.7,8.1,11.7,2995,29685,555693
196,Jalen McMillan,TB,WR,9,,229,90,57.5,19.3,97.1,19.6,6.3,65.7,1.3,0,7,6.7,88,80,11.9,11.6,30036,,1213726
197,Marcus Mariota,WAS,QB,12,,330,39,56.6,0,286.5,26,,217,3,0,23,23,55,55,71.9,71.9,3870,29358,607843
198,Tyler Higbee,LA,TE,8,,165,31,56.4,0,121.7,8.9,12.7,22,0.7,0,7,4,41,32.7,25.9,19.3,4278,47870,604176
199,Drew Lock,SEA,QB,8,,334,40,56.2,0,293.2,15.6,28.5,220.3,2.3,1.7,31,33,100,100,58.5,58.8,27139,64051,882345
200,Isaac Guerendo,SF,RB,14,,193,39,55.8,7.4,106.9,7.2,13.4,52,0,0,2,7.5,5,33,50,41.6,29872,,1126338
201,Chris Oladokun,KC,QB,10,,340,41,54.4,0,122.7,0,,5,0,1,1,1,15,15,20,20,28842,73398,947634
202,Joshua Dobbs,NE,QB,14,,342,42,54.2,0,278.7,14.4,12.6,192.5,2,2,51,28,100,54,67.1,83.5,5273,40407,741262
203,Taylor Heinicke,LAC,QB,12,,344,43,53.7,0,283.6,0.8,,8,0,0,,3,,13,,30,4929,53331,599113
204,AJ Dillon,PHI,RB,9,,195,40,53.1,8.9,99.1,,,,,,,,,,,,27505,93107,1060545
205,Van Jefferson,TEN,WR,10,,251,91,52.7,1.4,108.4,3.2,4.8,15,0,0,4,2.7,67,62.7,9.8,6.4,27500,64581,884080
206,Taysom Hill,NO,TE,11,,173,32,52.2,2,115.7,,,,,,,,,,,,4890,45565,503184
207,Skylar Thompson,PIT,QB,5,,352,44,52.1,0,234.6,,,,,,,,,,,,28848,69294,913829
208,Zay Jones,ARI,WR,8,,257,92,51.6,0,113.1,3.8,8.6,21.7,0,0,5,2,58,45.3,13.2,5.5,4569,41305,746491
209,Jordan Mason,MIN,RB,6,,198,41,51.3,9.1,98.1,,,,,,,,,,,,28927,86875,1116001
210,Dontayvion Wicks,GB,WR,5,,262,93,51.1,16.5,86.6,9.5,2,35,0.3,0,6,6,74,69.3,12.5,13.4,29320,,1172428
211,Antonio Gibson,NE,RB,14,,201,42,50.8,9.9,95,6.9,6.5,48.5,0,0.5,18,15,66,60,42.9,35.4,27509,,
212,Elijah Moore,BUF,WR,7,,270,94,50.6,16.9,85.3,3.9,5.5,19.3,0,0,5,5,95,80,8.9,9.4,28039,88575,1128783
213,Tre Harris,LAC,WR,12,,271,95,50.6,28,81.2,,,,,,,,,,,,30351,,
214,RJ Harvey,DEN,RB,12,,203,43,50.4,15.9,84.7,,,,,,,,,,,,30356,,
215,Tommy Tremble,CAR,TE,14,,175,33,49.9,0.4,104.6,5.7,11,20.7,0.3,0,3,2,60,62.7,7.5,4.5,28088,91101,1130555
216,Quinshon Judkins,CLE,RB,9,,204,44,49.7,14.5,84.8,,,,,,,,,,,,30332,,
217,Nick Mullens,JAX,QB,8,,364,45,49.6,0,245.1,,,,,,,,,,,,26258,41562,748309
218,Isaiah Likely,BAL,TE,7,,176,34,48.9,18.8,79.7,8.9,5.1,25.3,0.7,0,5,3,61,67.7,11.6,7,28741,87260,1125111
219,Ray Davis,BUF,RB,7,,208,45,48.1,4.8,93.7,6.9,12.2,35.7,0.3,0,18,10.3,52,33,51.4,46,30047,,
220,Jake Haener,NO,QB,11,,368,46,48.1,0,204.8,,,,,,,,,,,,29288,,1049254
221,Dont'e Thornton,LVR,WR,8,,290,96,47.4,4.4,94.7,,,,,,,,,,,,30403,,
222,Tyler Allgeier,ATL,RB,5,,211,46,46.8,7.3,90.1,5,7,39.7,0,0,11,8.7,22,20.3,64.7,56.3,28753,90428,1131198
223,Jaleel McLaughlin,DEN,RB,12,,212,47,46.7,8,87.3,8.2,2.8,62,0,0,18,15,41,32,60,72.8,29604,,1271738
224,Cam Akers,NO,RB,11,,215,48,46.4,7.3,88.7,6.8,11,35,0.3,0,8,6,31,24.7,40,31.1,27495,89230,976251
225,Justice Hill,BAL,RB,7,,216,49,46.2,7.6,86.8,3,,30,0,0,,3,,11,,42.9,26945,71521,923109
226,Josh Palmer,BUF,WR,7,,303,97,45.9,7.3,86.9,8.6,1,41,0,0,,6,,38,,20,28082,,
227,Trey Lance,LAC,QB,12,,372,47,45.9,0,261.6,6.2,12.2,136,0,0,40,21,100,52.5,51.3,59,28008,149696,1130975
228,Jelani Woods,IND,TE,11,,179,35,45.8,15.3,77,,,,,,,,,,,,28676,87469,975503
229,Jalen Coker,CAR,WR,14,,305,98,45.7,8.9,84.6,7.4,11.2,41.3,0,0,8,5,93,87.3,12.9,8.9,29928,,1218753
230,Emanuel Wilson,GB,RB,5,,222,50,45.4,6.1,88.8,11.9,5.4,52,1,0,15,11,42,36.7,55.6,44.5,29615,,1447759
231,Diontae Johnson,CLE,WR,9,,311,99,45.3,12.9,79.4,3.2,,12,0,0,4,4,37,37,18.2,18.2,27079,66008,891115
232,Kyle Trask,TB,QB,9,,375,48,45.3,0,140,0,,-2,0,0,,3,,14,,27.3,28069,69304,910380
233,Colston Loveland,CHI,TE,5,,181,36,45.1,16.8,72.4,,,,,,,,,,,,30306,,
234,Raheem Mostert,LVR,RB,8,,226,51,44.9,7.3,83.4,3.5,6.6,21.7,0,0,0,6,1,24,0,27,3932,28744,606501
235,Miles Sanders,DAL,RB,10,,227,52,44.9,6.1,89.2,24.6,,116,2,1,21,21,61,61,51.2,51.2,27041,71845,924261
236,Alexander Mattison,MIA,RB,12,,231,53,44.6,8.1,84.8,9.2,10.8,41.7,0.3,0,11,14.3,73,53.7,29.7,43,27125,72776,944343
237,TreVeyon Henderson,NE,RB,14,,232,54,44.4,8,79.7,,,,,,,,,,,,30334,,
238,Roschon Johnson,CHI,RB,5,,233,55,44,5.3,85.2,2.6,6.6,9,0,0,7,4,21,27,53.8,26.6,29276,,1163265
239,Trey Benson,ARI,RB,8,,234,56,44,5.7,87.6,,,,,,,,,,,,30032,,1248031
240,Jamari Thrash,CLE,WR,9,,322,100,43.7,0,101.8,0,0,0,0,0,1,1,54,46,3.1,3.2,29762,,1178628
241,Will Levis,TEN,QB,10,,381,49,43.6,1.8,273.2,7.8,,183,1,2,21,21,58,58,58.3,58.3,29194,,1116663
242,Hendon Hooker,DET,QB,8,,382,50,43.5,0,150.4,,,,,,,,,,,,29229,,976966
243,Braelon Allen,NYJ,RB,9,,236,57,43.2,3,86.9,3,2.3,19.7,0,0,7,5.3,22,22,50,37.2,29888,,1325231
244,Kaleb Johnson,PIT,RB,5,,239,58,42.7,8.5,76.2,,,,,,,,,,,,30379,,
245,Kyle Juszczyk,SF,RB,14,,240,59,42.5,0,96.4,8.1,9.3,28,0.7,0,3,3,42,39.3,9.4,11.7,2986,39428,501150
246,Tommy DeVito,NYG,QB,14,,388,51,42.5,0,211.9,,,,,,,,,,,,29640,,1060671
247,Jaylen Wright,MIA,RB,12,,242,60,42.4,5,85.7,0,0,-2,0,0,6,3,13,8,66.7,33.4,30046,,1286513
248,Malik Willis,GB,QB,5,,389,52,42.4,0,280.7,2.6,2.4,85.5,0,0.5,14,9.5,66,39.5,32.6,44.1,28689,87691,976323
249,Treylon Burks,TEN,WR,10,,338,101,42.1,0,99.9,,,,,,,,,,,,28622,110259,1172024
250,Chigoziem Okonkwo,TEN,TE,10,Q,184,37,42,5.9,80.2,10,19.1,46.7,0,0,0,6.3,5,54.7,0,12.3,28745,88297,1106374
251,Bailey Zappe,KC,QB,10,,390,53,41.9,0,258.2,7,,172,1,2,33,33,90,90,62.3,62.3,28739,139985,1058090
252,Jack Bech,LVR,WR,8,,345,102,41.2,14,70.4,,,,,,,,,,,,30354,,
253,Devin Singletary,NYG,RB,14,,246,61,41,3.2,82,2.8,2.8,19.7,0,0,8,6,30,26.3,50,40.3,26978,70603,916466
254,Tanner McKee,PHI,QB,9,,396,54,41,0,202,14.5,8.7,161,2,0,44,25,100,66,64.7,46.7,29349,,1123521
255,Bhayshul Tuten,JAX,RB,8,,247,62,40.9,13.9,70.1,,,,,,,,,,,,30399,,
256,Rondale Moore,MIN,WR,6,,346,103,40.8,6.2,77.6,,,,,,,,,,,,28054,93408,1130270
257,Austin Hooper,NE,TE,14,,185,38,40.7,13.1,68.8,7,4.6,33.7,0,0,6,4.7,67,60,14,12.2,4158,40126,739424
258,Cam Skattebo,NYG,RB,14,,249,63,40.6,12.8,70.1,,,,,,,,,,,,30400,,
259,Kayshon Boutte,NE,WR,14,,347,104,40.5,5.8,77.5,17.3,17.9,80,0.7,0,7,6.3,70,78.3,15.6,12.9,29348,,1213362
260,Dameon Pierce,HOU,RB,6,,252,64,40.4,6.9,78.4,7.8,21.2,64.3,0.3,0.3,21,9,62,31.3,56.8,39.2,28710,86055,1108998
261,Hunter Renfrow,CAR,WR,14,,350,105,40.4,7.4,75,,,,,,,,,,,,27027,57986,841649
262,Elijah Mitchell,KC,RB,10,,255,65,40.1,5.4,77.7,,,,,,,,,,,,28199,92413,1050833
263,Mac Jones,SF,QB,14,,404,55,40,0.3,278.6,14.6,4.5,228.3,1.3,0.3,37,34.7,100,100,53.6,53.4,28020,90584,973945
264,Samaje Perine,CIN,RB,10,,256,66,39.8,6.2,75.6,5.1,5.6,31,0,0,2,3,38,25.3,15.4,23.4,4742,52451,820734
265,Demarcus Robinson,SF,WR,14,,356,106,39.8,13.3,67.1,3.4,10.2,24,0,0,6,3,94,82,9.7,5.6,4292,38264,727279
266,Curtis Samuel,BUF,WR,7,,357,107,39.8,5.3,77.3,12.2,,52,0,0,8,8,67,67,17.8,17.8,4707,52613,821389
267,Kyle Allen,DET,QB,8,,406,56,39.7,0,241.3,,,,,,,,,,,,26564,53095,822350
268,Emari Demercado,ARI,RB,8,,261,67,39,3.3,78.9,,,,,,,,,,,,29612,,1116817
269,Michael Carter,ARI,RB,8,,263,68,38.9,4.3,81.8,12.9,6.1,53.5,0.5,0,21,15.5,77,61.7,42,41,28112,93539,976329
270,Jaret Patterson,LAC,RB,12,,269,69,38.5,0.6,82.6,,,,,,,,,,,,28409,88699,1108937
271,Ja'Tavion Sanders,CAR,TE,14,,189,39,38.2,10.3,66.8,2.7,6.5,13.3,0,0,5,2,51,54.3,14.7,6.2,29932,,1326628
272,Adonai Mitchell,IND,WR,11,,365,108,38.2,5.6,72.9,2.9,4.6,19.3,0,0,1,2,21,39.7,6.2,21.7,30020,,1285908
273,Aidan O'Connell,LVR,QB,8,,413,57,38.1,0,266.2,15,6.2,245.7,1.3,0.3,38,40.3,94,98,79.2,63.1,29296,,1066811
274,Parker Washington,JAX,WR,8,,367,109,37.7,5.5,71.7,10.3,4.6,33.3,0.7,0.3,4,4.3,86,87.7,6.8,7.5,29346,,1229074
275,Mack Hollins,NE,WR,14,,369,110,37.6,9.3,67.5,5.1,1,27.7,0,0,4,3,99,74.7,6.1,6.2,4641,25267,702808
276,Jimmy Garoppolo,LA,QB,8,,420,58,37.2,0,286,19.9,,339,2,1,43,43,100,100,65.2,65.2,3601,54604,555358
277,Jacoby Brissett,ARI,QB,8,,422,59,37,0,259.7,0,,-2,0,0,,2,,19,,20,4295,30231,607047
278,Audric Estime,DEN,RB,12,,280,70,36.8,5.2,72.6,8.3,6.1,39.7,0.7,0,12,10.3,24,27,66.7,61.2,29880,,1321291
279,Jarquez Hunter,LA,RB,8,,282,71,36.5,8.4,64.7,,,,,,,,,,,,30412,,
280,Trevor Etienne,CAR,RB,14,,285,72,36.2,8.4,64.3,,,,,,,,,,,,30409,,
281,Troy Franklin,DEN,WR,12,,374,111,36,6.8,66.5,2.9,3.5,12,0,0,2,2.3,35,34,7.7,8.8,30038,,1286176
282,Kimani Vidal,LAC,RB,12,,292,73,35,0.3,73.6,0.9,2.4,16,0,0.3,0,4,1,6,0,38.9,29799,,1214824
283,JuJu Smith-Schuster,KC,WR,10,,378,112,35,6.3,65,1.7,3.8,7.3,0,0,2,1.7,94,60,6.2,5.5,4597,55987,835909
284,Sam Howell,MIN,QB,6,,428,60,35,0,412.7,,,,,,,,,,,,28746,104576,1168245
285,Jaxson Dart,NYG,QB,14,,429,61,35,5.6,281,,,,,,,,,,,,30321,,
286,Clyde Edwards-Helaire,NO,RB,11,,294,74,34.8,4.8,70.2,5,0,35,0,0,9,9,27,35,50,42.3,27475,85741,976650
287,Michael Gallup,WAS,WR,12,,380,113,34.8,5.8,65.2,,,,,,,,,,,,5078,69956,912070
288,Zach Wilson,MIA,QB,12,,430,62,34.8,0,250.7,,,,,,,,,,,,28007,90406,1108052
289,Blake Watson,DEN,RB,12,,299,75,34.6,1.1,73.4,,,,,,,,,,,,29886,,1108990
290,Jacory Croskey-Merritt,WAS,RB,12,,300,76,34.6,11.6,60.3,,,,,,,,,,,,30539,,
291,Jordan Whittington,LA,WR,8,,383,114,34.6,0.7,72.3,4.8,12.8,34.7,0,0,6,2.3,47,28.7,19.4,10.2,29850,,1163273
292,Malik Washington,MIA,WR,12,,386,115,34.3,0.2,73.9,7.6,3,35.3,0,0,5,5,61,78.3,11.6,10,30054,,1173255
293,Jaylin Noel,HOU,WR,6,,387,116,34.3,13.5,59.2,,,,,,,,,,,,30375,,
294,Case Keenum,CHI,QB,5,,431,63,34.2,0,270.6,,,,,,,,,,,,3269,22994,338280
295,Noah Gray,KC,TE,10,,194,40,33.8,3.6,65.8,1.6,0.9,4.3,0,0,2,1.3,12,35.3,50,18.8,28167,93143,1056981
296,Kendrick Bourne,NE,WR,14,,391,117,33.5,4.7,64.6,3.7,1,17.3,0,0,2,2.7,38,60,8.3,7.6,4832,80289,754412
297,Andy Dalton,CAR,QB,14,,434,64,33.4,0,247.4,,,,,,,,,,,,2239,14225,322858
298,Hunter Luepke,DAL,RB,10,,312,77,33.3,0,74.4,0.9,1.5,5.3,0,0,3,2,28,28,13.6,10.2,29425,,1130976
299,Pat Bryant,DEN,WR,12,,392,118,33.3,12.7,57.5,,,,,,,,,,,,30370,,
300,Isaac TeSlaa,DET,WR,8,,393,119,33.2,11.8,57.8,,,,,,,,,,,,30366,,
301,Olamide Zaccheaus,CHI,WR,5,,397,120,33,6.3,61.6,18.1,16.9,71.3,1,0,5,7.7,69,71.3,12.5,15.1,27196,64496,883976
302,Israel Abanikanda,GB,RB,5,,316,78,32.8,0.9,68.6,,,,,,,,,,,,29304,,1214249
303,Mason Rudolph,PIT,QB,5,,438,65,32.7,0,276.8,8.6,9.1,182,1,1.7,10,28,42,80.7,38.5,51,5073,53729,823220
304,KaVontae Turpin,DAL,WR,10,,400,121,32.6,3.5,64.6,5.3,6,36.7,0,0,6,5.3,50,48.3,15.4,16.5,28933,60957,865958
305,Evan Hull,PIT,RB,5,,317,79,32.5,1.1,69,,,,,,,,,,,,29337,,1173266
306,Dylan Sampson,CLE,RB,9,,318,80,32.3,4.7,62.9,,,,,,,,,,,,30421,,
307,Dorian Thompson-Robinson,PHI,QB,9,,441,66,32.2,0,221.7,3.3,4.4,134,0,1.7,5,33,10,55,83.3,73.9,29301,,1128116
308,Tyrod Taylor,NYJ,QB,9,,442,67,32.1,0,245,9.9,,89,2,1,,16,,37,,69.6,2554,14377,399579
309,Tai Felton,MIN,WR,6,,408,122,32,10.5,56.3,,,,,,,,,,,,30397,,
310,John Metchie,PHI,WR,9,,409,123,31.9,0.9,66.1,6.1,3.4,36,0,0.5,4,6,60,65.5,11.1,15.6,28648,102696,1160348
311,Marquez Valdes-Scantling,SEA,WR,8,,410,124,31.9,4.1,61.2,3.2,6.3,16.5,0,0,8,5,70,74,17.4,10.8,5171,40647,742382
312,Kenneth Gainwell,PIT,RB,5,,324,81,31.8,4.8,63.8,2.8,2.4,15,0,0,15,8,49,30.3,45.5,36,28155,90912,1130705
313,Ty Johnson,BUF,RB,7,,325,82,31.8,0,68,2.9,1.2,22.7,0,0,4,5.3,25,31.3,23.5,25.9,27172,63050,877784
314,Cooper Rush,BAL,QB,7,,444,68,31.8,0,231.7,10.9,9.6,218.5,1,1,,33.5,,97.5,,56.2,4830,44715,694117
315,Foster Moreau,NO,TE,11,,196,41,31.7,6.7,57.4,8.7,8.4,37,0.3,0,4,4,79,66.7,7.7,10.1,27030,60712,865573
316,Sincere McCormick,LVR,RB,8,,332,83,31.3,1.3,64.5,,,,,,,,,,,,28967,104054,1166235
317,Khalil Herbert,IND,RB,11,,333,84,31.3,5.7,61.4,5.2,13.3,35.3,0,0.3,28,10.7,95,57.5,40,31.1,28222,72412,935104
318,Greg Dortch,ARI,WR,8,,411,125,31.3,0.6,66.8,9.3,15.7,33,0.7,0.3,5,3.3,45,35.7,17.2,12.9,27359,69558,910852
319,Terrance Ferguson,LA,TE,8,,197,42,31.1,9,53.1,,,,,,,,,,,,30342,,
320,Jonathon Brooks,CAR,RB,14,,335,85,31,1.6,64,,,,,,,,,,,,29927,,1326601
321,Jalen Royals,KC,WR,10,,414,126,31,13.5,53,,,,,,,,,,,,30428,,
322,Zamir White,LVR,RB,8,,336,86,30.8,6.2,59.2,,,,,,,,,,,,28724,91578,1110697
323,KeAndre Lambert-Smith,LAC,WR,12,,417,127,30.7,1.2,63,,,,,,,,,,,,30453,,
324,Salvon Ahmed,IND,RB,11,,337,87,30.6,1.7,64.2,,,,,,,,,,,,27900,86780,1049246
